map,weapon,attacker_position.x,attacker_position.y,attacker_position.z,attacker_side,victim_position.x,victim_position.y,victim_position.z,victim_side
de_mirage,Ssg08,-1177.5105,-731.0861,-167.96875,CT,215.6083,-251.61627,-168.01186,Terrorist
de_mirage,Ssg08,-1177.5105,-731.0861,-167.96875,CT,215.6083,-251.61627,-168.01186,Terrorist
de_mirage,Ssg08,-1177.5105,-731.0861,-167.96875,CT,215.6083,-251.61627,-168.01186,Terrorist
de_mirage,Ssg08,-1257.574,-1281.303,-167.96875,CT,-913.93695,-1370.5514,-167.96875,Terrorist
de_mirage,Sg553,-893.2479,-1437.2166,-167.96875,Terrorist,-1244.0605,-1293.6569,-167.96875,CT
de_mirage,Aug,-1174.3485,-389.7636,-55.96875,CT,-1223.3137,-713.033,-128.96875,Terrorist
de_mirage,Aug,-1153.1112,-356.46194,-55.96875,CT,-1192.9061,-1449.5543,-165.81862,Terrorist
de_mirage,Deagle,454.31622,-474.7886,-159.96875,Terrorist,-1220.5114,-558.64276,-167.96875,CT
de_mirage,Deagle,454.31622,-474.7886,-159.96875,Terrorist,-1220.5114,-558.64276,-167.96875,CT
de_mirage,Sg553,-883.6496,-2530.6904,-35.96875,CT,327.1664,-1474.9784,-175.96875,Terrorist
de_mirage,Deagle,454.31622,-474.7886,-159.96875,Terrorist,-1220.5114,-558.64276,-167.96875,CT
de_mirage,Sg553,-883.6496,-2530.6904,-35.96875,CT,327.1664,-1474.9784,-175.96875,Terrorist
de_mirage,M4a4,-755.04114,-2243.8037,-179.96875,CT,-670.5313,-916.04114,-225.9445,Terrorist
de_mirage,M4a4,-781.59656,-2122.9124,-179.96875,CT,-402.87094,-1828.7065,-172.61075,Terrorist
de_mirage,M4a4,-775.7408,-2131.4138,-179.96875,CT,-589.252,-1936.3728,-179.96875,Terrorist
de_mirage,Sg553,-801.4713,-2224.7393,-179.80501,CT,-618.34467,-935.7147,-216.10774,Terrorist
de_mirage,Sg553,-801.4713,-2224.7393,-179.80501,CT,-618.34467,-935.7147,-216.10774,Terrorist
de_mirage,Sg553,35.732967,-1723.0808,-167.96875,Terrorist,-326.82944,-2327.548,-89.96875,CT
de_mirage,Sg553,-297.80237,-1562.7247,-167.96875,Terrorist,-441.02563,-2356.9434,-167.96875,CT
de_mirage,Sg553,-801.4713,-2224.7393,-179.80501,CT,-618.34467,-935.7147,-216.10774,Terrorist
de_mirage,Sg553,35.732967,-1723.0808,-167.96875,Terrorist,-326.82944,-2327.548,-89.96875,CT
de_mirage,Sg553,-297.80237,-1562.7247,-167.96875,Terrorist,-441.02563,-2356.9434,-167.96875,CT
de_mirage,Awp,-221.21007,-1831.2026,-167.96875,Terrorist,-1242.1735,-1241.3458,-167.96875,CT
de_mirage,Sg553,-1032.971,-2381.8853,-167.96875,CT,46.995033,-1782.311,-63.17537,Terrorist
de_mirage,M4a4,-546.81616,-1441.5844,-75.492516,CT,86.262276,-2169.6257,-35.96875,Terrorist
de_mirage,Sg553,-801.4713,-2224.7393,-179.80501,CT,-618.34467,-935.7147,-216.10774,Terrorist
de_mirage,Sg553,35.732967,-1723.0808,-167.96875,Terrorist,-326.82944,-2327.548,-89.96875,CT
de_mirage,Sg553,-297.80237,-1562.7247,-167.96875,Terrorist,-441.02563,-2356.9434,-167.96875,CT
de_mirage,Awp,-221.21007,-1831.2026,-167.96875,Terrorist,-1242.1735,-1241.3458,-167.96875,CT
de_mirage,Sg553,-1032.971,-2381.8853,-167.96875,CT,46.995033,-1782.311,-63.17537,Terrorist
de_mirage,M4a4,-546.81616,-1441.5844,-75.492516,CT,86.262276,-2169.6257,-35.96875,Terrorist
de_mirage,Sg553,-801.4713,-2224.7393,-179.80501,CT,-618.34467,-935.7147,-216.10774,Terrorist
de_mirage,Sg553,35.732967,-1723.0808,-167.96875,Terrorist,-326.82944,-2327.548,-89.96875,CT
de_mirage,Sg553,-297.80237,-1562.7247,-167.96875,Terrorist,-441.02563,-2356.9434,-167.96875,CT
